"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Brandon Dixon","DET","118","420","15","41","52","5","5.0%","32.4%",".187",".336",".248",".290",".435",".303","","87","1.1","-6.0","-4.2","0.5","15214"
"Abraham Toro","HOU","25","89","2","13","9","1","10.1%","21.3%",".167",".259",".218",".303",".385",".295",".298","84","0.0","-1.9","3.5","0.5","19844"
"Austin Slater","SFG","68","192","5","20","21","1","11.5%","30.7%",".179",".337",".238",".333",".417",".320","","99","1.7","1.4","-2.8","0.5","16153"
"Max Fried","ATL","40","65","0","11","4","0","7.7%","24.6%",".071",".275",".196",".262",".268",".236","","39","0.0","-5.3","8.0","0.5","13743"
"Kevin Pillar","- - -","161","645","21","83","88","14","2.8%","13.8%",".173",".270",".259",".287",".432",".298",".296","84","6.0","-7.4","-8.6","0.5","12434"
"Kenta Maeda","LAD","41","61","0","3","6","0","0.0%","21.3%",".042",".343",".250",".250",".292",".232","","41","0.0","-4.8","7.5","0.5","18498"
"Madison Bumgarner","SFG","37","76","2","4","4","0","11.8%","52.6%",".095",".286",".127",".236",".222",".213","","29","0.0","-7.2","9.3","0.4","5524"
"Tyler Wade","NYY","43","108","2","16","11","7","10.2%","25.9%",".117",".328",".245",".330",".362",".303","","88","2.5","0.8","-0.2","0.4","15730"
"Peter Lambert","COL","22","34","0","3","2","0","8.8%","29.4%",".000",".500",".321",".387",".321",".319","","82","0.0","-0.8","4.2","0.4","17969"
"Jon Lester","CHC","32","53","1","6","6","0","9.4%","37.7%",".104",".296",".188",".264",".292",".246","","46","0.0","-3.8","6.5","0.4","4930"
"Magneuris Sierra","MIA","15","42","0","5","1","3","4.8%","16.7%",".075",".424",".350",".381",".425",".347","","117","-0.2","0.7","2.4","0.4","17023"
"Justin Smoak","TOR","121","500","22","54","61","0","15.8%","21.2%",".198",".223",".208",".342",".406",".323",".366","101","-4.5","-3.9","-9.8","0.4","9054"
"Giancarlo Stanton","NYY","18","72","3","8","13","0","16.7%","33.3%",".203",".424",".288",".403",".492",".379","","139","-0.4","3.3","-1.6","0.4","4949"
"Edwin Rios","LAD","28","56","4","10","8","0","16.1%","37.5%",".340",".409",".277",".393",".617",".413","","160","-0.4","4.0","-1.5","0.4","18316"
"Mauricio Dubon","- - -","30","111","4","12","9","3","4.5%","18.0%",".160",".305",".274",".306",".434",".312","","94","0.3","-0.6","1.3","0.4","16530"
"JaCoby Jones","DET","88","333","11","39","26","7","8.1%","28.2%",".195",".304",".235",".310",".430",".311",".317","92","1.0","-2.3","-5.6","0.4","14818"
"Guillermo Heredia","TBR","89","231","5","31","20","2","7.8%","26.0%",".137",".293",".225",".306",".363",".291",".295","84","1.0","-3.8","-0.4","0.4","18721"
"Steven Matz","NYM","36","61","1","4","1","0","0.0%","27.9%",".053",".308",".228",".228",".281",".217",".259","35","0.0","-5.3","7.5","0.4","13361"
"Tony Kemp","- - -","110","279","8","31","29","4","8.2%","16.8%",".167",".227",".212",".291",".380",".285","","76","-1.3","-10.1","4.5","0.4","14894"
"Matt Strahm","SDP","47","27","0","1","1","0","7.4%","44.4%",".095",".667",".286",".348",".381",".317","","97","0.0","-0.1","3.3","0.4","13799"
"Nico Hoerner","CHC","20","82","3","13","17","0","3.7%","13.4%",".154",".292",".282",".305",".436",".305",".304","85","0.4","-1.3","2.7","0.4","21479"
"Domingo Santana","SEA","121","507","21","63","69","8","9.9%","32.3%",".188",".347",".253",".329",".441",".326","","107","0.5","5.1","-19.5","0.4","10348"
"Brandon Crawford","SFG","147","560","11","58","59","3","9.5%","20.9%",".122",".274",".228",".304",".350",".281",".303","73","-0.9","-20.8","6.8","0.4","5343"
"Mike Zunino","TBR","90","289","9","30","32","0","6.9%","33.9%",".147",".220",".165",".232",".312",".235",".273","46","0.6","-19.3","12.7","0.4","13265"
"Kyle Higashioka","NYY","18","57","3","8","11","0","0.0%","45.6%",".250",".321",".214",".211",".464",".270","","65","0.7","-1.9","3.7","0.4","5517"
"Caleb Smith","MIA","30","49","0","2","3","0","0.0%","30.6%",".047",".357",".233",".250",".279",".230","","41","0.0","-3.9","6.0","0.4","14875"
"German Marquez","COL","29","58","0","5","11","0","0.0%","24.1%",".125",".324",".229",".229",".354",".242","","32","0.0","-5.3","7.1","0.4","15038"
"Alex Dickerson","- - -","68","190","6","29","28","1","6.8%","22.1%",".213",".331",".276",".332",".489",".341",".345","112","-0.7","2.4","-4.9","0.3","12649"
"Tyler O'Neill","STL","60","151","5","18","16","1","6.6%","35.1%",".149",".386",".262",".311",".411",".308","","92","0.1","-1.5","0.2","0.3","15711"
"Cam Gallagher","KCR","45","142","3","14","12","0","7.7%","19.7%",".127",".281",".238",".312",".365",".294","","79","-3.1","-6.9","5.3","0.3","12981"
"Michael A. Taylor","WSN","53","97","1","10","3","6","7.2%","35.1%",".114",".396",".250",".305",".364",".289","","74","1.6","-1.8","2.1","0.3","11489"
"Andrew Stevenson","WSN","30","37","0","4","0","0","16.2%","29.7%",".100",".579",".367",".486",".467",".417","","158","-1.1","1.7","0.5","0.3","17932"
"Hyun-Jin Ryu","LAD","30","67","1","3","3","0","6.0%","34.3%",".078",".259",".157",".218",".235",".202","","21","0.0","-7.0","8.2","0.3","14444"
"Nick Solak","TEX","33","135","5","19","17","2","11.1%","21.5%",".198",".354",".293",".393",".491",".375","","126","-0.2","4.4","-5.9","0.3","19294"
"Thairo Estrada","NYY","35","69","3","12","12","4","4.3%","21.7%",".188",".283",".250",".294",".438",".308",".299","91","1.2","0.4","0.4","0.3","16426"
"Gavin Lux","LAD","23","82","2","12","9","2","8.5%","29.3%",".160",".327",".240",".305",".400",".301",".343","86","1.1","-0.5","1.1","0.3","19955"
"Josh Phegley","OAK","106","342","12","44","62","0","4.4%","18.4%",".172",".258",".239",".282",".411",".291",".283","83","-4.0","-11.6","2.5","0.3","9308"
"Kristopher Negron","- - -","40","82","2","12","8","1","6.1%","31.7%",".091",".347",".247",".293",".338",".269","","66","1.7","-1.9","2.3","0.3","5306"
"Ildemaro Vargas","ARI","92","211","6","25","24","1","4.3%","11.4%",".144",".279",".269",".299",".413",".300",".285","81","-0.5","-5.8","2.1","0.3","13324"
"Ryan Cordell","CHW","97","247","7","22","24","3","7.7%","27.9%",".134",".287",".221",".290",".355",".279","","71","0.1","-8.9","3.0","0.3","15181"
"Joe Panik","- - -","142","491","5","50","39","4","8.8%","9.6%",".091",".262",".244",".315",".336",".284",".302","76","-2.3","-18.1","5.3","0.3","11936"
"Kyle Garlick","LAD","30","53","3","8","6","0","9.4%","35.8%",".271",".346",".250",".321",".521",".342","","113","0.3","1.2","0.0","0.3","18063"
"Jason Kipnis","CLE","121","511","17","52","65","7","7.8%","17.2%",".166",".265",".245",".304",".410",".301",".312","86","0.0","-9.5","-6.2","0.3","9776"
"Jack Flaherty","STL","38","66","0","4","4","1","3.0%","25.8%",".056",".263",".185",".211",".241",".195","","18","-0.3","-7.4","8.1","0.3","17479"
"Kevin Plawecki","CLE","60","174","3","13","17","0","6.9%","17.8%",".120",".256",".222",".287",".342",".273","","67","-1.3","-8.8","5.3","0.3","13807"
"Chad Wallach","MIA","19","54","1","4","3","0","11.1%","22.2%",".125",".314",".250",".333",".375",".309",".347","93","0.0","-0.6","1.6","0.3","17161"
"Nathaniel Lowe","TBR","50","169","7","24","19","0","7.7%","29.6%",".191",".340",".263",".325",".454",".328",".329","109","1.3","3.3","-6.6","0.3","19566"
"Alex Blandino","CIN","23","50","1","6","3","0","20.0%","28.0%",".111",".348",".250",".420",".361",".352","","111","0.3","1.0","0.1","0.3","16271"
"Brett Phillips","KCR","30","79","2","7","6","3","12.7%","29.1%",".123",".167",".138",".247",".262",".228","","34","1.1","-5.6","5.4","0.3","14735"
"Colin Moran","PIT","149","503","13","46","80","0","6.0%","23.3%",".152",".341",".277",".322",".429",".315",".310","93","-3.4","-7.8","-5.6","0.3","16909"
"Sean Rodriguez","PHI","76","139","4","24","12","1","13.7%","29.5%",".152",".309",".223",".348",".375",".319","","94","-0.2","-1.4","-0.5","0.2","6589"
"Cory Spangenberg","MIL","32","102","2","11","10","3","5.9%","35.3%",".126",".351",".232",".277",".358",".267","","60","0.6","-4.8","4.1","0.2","12294"
